日期,阳性感染者,确诊病例,无症状感染者,轻型,普通型,重型,危重型,死亡,治愈出院,解除医学观察,尚在医学观察,本土阳性感染者,本土确诊病例,本土无症状感染者,从闭环隔离中发现的阳性感染者,从风险人群中发现的阳性感染者,从无症状感染者转归确诊的病例,从闭环隔离中发现的本土病例,从风险人群中发现的本土病例,从闭环隔离中发现的无症状感染者,从风险人群中发现的无症状感染者,本土病例出院,本土解除医学观察,本土死亡病例,本土尚在医学观察,境外输入阳性感染者,境外输入病例,境外输入无症状感染者,境外输入病例出院,境外输入解除医学观察,境外输入死亡,境外输入尚在医学观察,当前重症病例,当前危重症病例,当前在院治疗,当前本土在院治疗,当前境外输入在院治疗,累计本土阳性感染者,累计本土确诊,累计治愈出院,累计本土死亡,累计境外输入确诊病例,累计境外输入治愈出院,浦东新区_阳性,徐汇区_阳性,闵行区_阳性,黄浦区_阳性,嘉定区_阳性,松江区_阳性,虹口区_阳性,长宁区_阳性,青浦区_阳性,静安区_阳性,宝山区_阳性,杨浦区_阳性,普陀区_阳性,崇明区_阳性,金山区_阳性,奉贤区_阳性,浦东新区_阳性_来自闭环隔离,徐汇区_阳性_来自闭环隔离,闵行区_阳性_来自闭环隔离,黄浦区_阳性_来自闭环隔离,嘉定区_阳性_来自闭环隔离,松江区_阳性_来自闭环隔离,虹口区_阳性_来自闭环隔离,长宁区_阳性_来自闭环隔离,青浦区_阳性_来自闭环隔离,静安区_阳性_来自闭环隔离,宝山区_阳性_来自闭环隔离,杨浦区_阳性_来自闭环隔离,普陀区_阳性_来自闭环隔离,崇明区_阳性_来自闭环隔离,金山区_阳性_来自闭环隔离,奉贤区_阳性_来自闭环隔离,浦东新区_阳性_来自风险人群,徐汇区_阳性_来自风险人群,闵行区_阳性_来自风险人群,黄浦区_阳性_来自风险人群,嘉定区_阳性_来自风险人群,松江区_阳性_来自风险人群,虹口区_阳性_来自风险人群,长宁区_阳性_来自风险人群,青浦区_阳性_来自风险人群,静安区_阳性_来自风险人群,宝山区_阳性_来自风险人群,杨浦区_阳性_来自风险人群,普陀区_阳性_来自风险人群,崇明区_阳性_来自风险人群,金山区_阳性_来自风险人群,奉贤区_阳性_来自风险人群,浦东新区_确诊,徐汇区_确诊,闵行区_确诊,黄浦区_确诊,嘉定区_确诊,松江区_确诊,虹口区_确诊,长宁区_确诊,青浦区_确诊,静安区_确诊,宝山区_确诊,杨浦区_确诊,普陀区_确诊,崇明区_确诊,金山区_确诊,奉贤区_确诊,浦东新区_确诊_来自闭环隔离,徐汇区_确诊_来自闭环隔离,闵行区_确诊_来自闭环隔离,黄浦区_确诊_来自闭环隔离,嘉定区_确诊_来自闭环隔离,松江区_确诊_来自闭环隔离,虹口区_确诊_来自闭环隔离,长宁区_确诊_来自闭环隔离,青浦区_确诊_来自闭环隔离,静安区_确诊_来自闭环隔离,宝山区_确诊_来自闭环隔离,杨浦区_确诊_来自闭环隔离,普陀区_确诊_来自闭环隔离,崇明区_确诊_来自闭环隔离,金山区_确诊_来自闭环隔离,奉贤区_确诊_来自闭环隔离,浦东新区_确诊_来自无症状感染者,徐汇区_确诊_来自无症状感染者,闵行区_确诊_来自无症状感染者,黄浦区_确诊_来自无症状感染者,嘉定区_确诊_来自无症状感染者,松江区_确诊_来自无症状感染者,虹口区_确诊_来自无症状感染者,长宁区_确诊_来自无症状感染者,青浦区_确诊_来自无症状感染者,静安区_确诊_来自无症状感染者,宝山区_确诊_来自无症状感染者,杨浦区_确诊_来自无症状感染者,普陀区_确诊_来自无症状感染者,崇明区_确诊_来自无症状感染者,金山区_确诊_来自无症状感染者,奉贤区_确诊_来自无症状感染者,浦东新区_确诊_来自风险人群,徐汇区_确诊_来自风险人群,闵行区_确诊_来自风险人群,黄浦区_确诊_来自风险人群,嘉定区_确诊_来自风险人群,松江区_确诊_来自风险人群,虹口区_确诊_来自风险人群,长宁区_确诊_来自风险人群,青浦区_确诊_来自风险人群,静安区_确诊_来自风险人群,宝山区_确诊_来自风险人群,杨浦区_确诊_来自风险人群,普陀区_确诊_来自风险人群,崇明区_确诊_来自风险人群,金山区_确诊_来自风险人群,奉贤区_确诊_来自风险人群,浦东新区_无症状,徐汇区_无症状,闵行区_无症状,黄浦区_无症状,嘉定区_无症状,松江区_无症状,虹口区_无症状,长宁区_无症状,青浦区_无症状,静安区_无症状,宝山区_无症状,杨浦区_无症状,普陀区_无症状,崇明区_无症状,金山区_无症状,奉贤区_无症状,浦东新区_无症状_来自闭环隔离,徐汇区_无症状_来自闭环隔离,闵行区_无症状_来自闭环隔离,黄浦区_无症状_来自闭环隔离,嘉定区_无症状_来自闭环隔离,松江区_无症状_来自闭环隔离,虹口区_无症状_来自闭环隔离,长宁区_无症状_来自闭环隔离,青浦区_无症状_来自闭环隔离,静安区_无症状_来自闭环隔离,宝山区_无症状_来自闭环隔离,杨浦区_无症状_来自闭环隔离,普陀区_无症状_来自闭环隔离,崇明区_无症状_来自闭环隔离,金山区_无症状_来自闭环隔离,奉贤区_无症状_来自闭环隔离,浦东新区_无症状_来自风险人群,徐汇区_无症状_来自风险人群,闵行区_无症状_来自风险人群,黄浦区_无症状_来自风险人群,嘉定区_无症状_来自风险人群,松江区_无症状_来自风险人群,虹口区_无症状_来自风险人群,长宁区_无症状_来自风险人群,青浦区_无症状_来自风险人群,静安区_无症状_来自风险人群,宝山区_无症状_来自风险人群,杨浦区_无症状_来自风险人群,普陀区_无症状_来自风险人群,崇明区_无症状_来自风险人群,金山区_无症状_来自风险人群,奉贤区_无症状_来自风险人群,来源
2022-04-01,6313,262,6051,0,0,0,0,0,39,0,38190,6311,260,6051,0,0,2,8,250,5402,649,23,0,0,38162,2,2,0,16,0,0,28,0,0,1670,1577,93,0,2197,613,7,4517,4424,2584,639,1043,260,200,493,61,37,87,189,45,134,245,84,49,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,37,57,5,9,19,3,0,0,11,10,11,13,1,3,2,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,77,35,57,5,7,19,3,0,0,11,9,10,11,1,3,2,2505,602,986,255,191,474,58,37,87,178,35,123,232,83,46,159,2426,385,833,238,164,453,43,32,76,147,16,106,198,83,46,156,79,217,153,17,27,21,15,5,11,31,19,17,34,0,0,3,https://wsjkw.sh.gov.cn/xwfb/20220402/7e9cc0574a4d4ef482c21286762c56fa.html
2022-03-31,4510,365,4145,0,0,0,0,0,26,0,32679,4502,358,4144,0,0,20,8,330,3710,434,12,0,0,32648,8,7,1,14,0,0,31,0,0,1447,1340,107,0,1937,590,7,4515,4408,2407,226,392,121,54,184,128,256,95,164,17,174,15,44,42,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,20,59,7,7,5,8,43,1,4,4,5,6,1,3,5,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,7,1,1,1,0,1,1,0,0,2,2,0,0,0,173,17,52,5,6,4,8,42,0,3,4,3,4,1,3,5,2227,206,333,114,47,179,120,213,94,160,13,169,9,43,39,178,2080,184,273,92,36,146,96,179,73,147,5,156,5,27,38,173,147,22,60,22,11,33,24,34,21,13,8,13,4,16,1,5,https://wsjkw.sh.gov.cn/xwfb/20220401/f08047a77e7347edafed1bdbb46e2547.html
2022-03-30,5657,358,5299,0,0,0,0,0,29,0,28894,5653,355,5298,0,0,16,10,329,4477,821,20,0,0,28860,4,3,1,9,0,0,34,0,0,1108,994,114,0,1579,578,7,4508,4394,2207,404,780,361,158,246,84,128,77,102,504,100,146,193,33,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,15,19,16,9,8,1,8,5,8,1,3,6,0,0,7,2,0,1,3,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,6,2,0,0,0,2,0,0,3,246,15,18,13,8,6,1,2,3,7,1,2,3,0,0,4,1958,389,761,345,149,238,83,120,72,94,503,97,140,193,33,123,1660,294,680,275,108,211,29,108,63,78,485,91,111,191,30,63,298,95,81,70,41,27,54,12,9,16,18,6,29,2,3,60,https://wsjkw.sh.gov.cn/xwfb/20220331/81df7d8493ad493c8ca301bcfaa348ea.html
2022-03-29,5987,329,5658,0,0,0,0,0,45,0,23933,5982,326,5656,0,0,18,17,291,5131,525,30,0,0,23896,5,3,2,15,0,0,37,0,0,779,659,120,0,1224,558,7,4505,4385,2183,1100,988,110,255,229,73,30,87,175,363,99,113,55,26,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,34,29,6,9,15,7,3,0,8,33,3,6,1,2,1,4,5,4,0,0,2,0,1,0,0,1,0,0,0,0,0,3,4,5,0,2,0,0,0,0,1,2,0,1,0,0,0,162,25,20,6,7,13,7,2,0,7,30,3,5,1,2,1,2014,1066,959,104,246,214,66,27,87,167,330,96,107,54,24,95,1822,968,914,57,233,210,49,27,85,156,270,88,99,53,23,77,192,98,45,47,13,4,17,0,2,11,60,8,8,1,1,18,https://wsjkw.sh.gov.cn/xwfb/20220330/875ac4e3116341c1ab706b7b77a7ef31.html
2022-03-28,4489,107,4382,0,0,0,0,0,28,0,18568,4477,96,4381,0,0,21,7,68,3824,557,17,0,0,18531,12,11,1,11,0,0,37,0,0,495,363,132,0,898,528,7,4502,4370,2506,91,370,283,209,94,8,115,57,104,311,47,81,67,19,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,9,1,2,4,4,7,2,10,8,0,3,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,1,0,2,2,0,0,7,0,0,1,0,0,0,33,5,2,0,2,2,2,7,2,3,7,0,2,0,1,0,2467,85,361,282,207,90,4,108,55,94,303,47,78,67,18,115,2100,60,335,266,172,81,1,99,51,90,291,41,53,67,17,100,367,25,26,16,35,9,3,9,4,4,12,6,25,0,1,15,https://wsjkw.sh.gov.cn/xwfb/20220329/147ddbec518c4d26b5b4a4492dbf0650.html
2022-03-27,3514,60,3454,0,0,0,0,0,37,170,14414,3500,50,3450,0,0,0,17,33,2833,617,18,169,0,14376,14,10,4,19,1,0,38,0,0,416,284,132,0,802,511,7,4491,4359,1429,277,619,56,251,190,27,45,43,70,94,35,70,236,13,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,20,1,3,1,1,0,0,5,5,0,4,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,1,3,1,1,0,0,5,5,0,4,0,0,0,1425,271,599,55,248,189,26,45,43,65,89,35,66,236,13,45,1003,218,559,49,236,174,22,41,35,61,74,26,49,236,10,40,422,53,40,6,12,15,4,4,8,4,15,9,17,0,3,5,https://wsjkw.sh.gov.cn/xwfb/20220328/910b5fe239e44c24a2ca95b4e6483877.html
2022-03-26,2684,51,2633,0,0,0,0,0,33,214,11130,2676,45,2631,0,0,0,27,18,2363,268,17,210,0,11095,8,6,2,16,4,0,35,0,0,393,252,141,0,752,493,7,4481,4340,323,331,972,160,242,79,50,29,22,108,153,23,69,27,4,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,15,0,9,0,1,2,0,3,6,2,1,0,0,0,0,1,14,0,8,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,1,0,0,2,0,2,5,1,1,0,0,0,322,326,957,160,233,79,49,27,22,105,147,21,68,27,4,84,267,291,885,144,226,70,36,20,20,99,128,13,53,26,4,81,55,35,72,16,7,9,13,7,2,6,19,8,15,1,0,3,https://wsjkw.sh.gov.cn/xwfb/20220327/d890a58b77654f1fac71dad84eedce4c.html
2022-03-25,2280,47,2233,0,0,0,0,0,21,110,8711,2269,38,2231,0,0,0,3,35,1773,458,13,102,0,8674,11,9,2,8,8,0,37,0,0,375,224,151,0,707,476,7,4475,4324,1914,3,206,23,19,15,4,4,13,2,4,11,9,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1883,2,202,23,19,14,4,4,13,2,4,11,8,41,1,0,1453,2,195,12,19,13,0,2,13,2,3,11,6,41,1,0,430,0,7,11,0,1,4,2,0,0,1,0,2,0,0,0,https://wsjkw.sh.gov.cn/xwfb/20220326/210fddd35d1248308b02acaa25950e09.html
2022-03-24,1626,41,1585,0,0,0,0,0,63,209,6593,1609,29,1580,0,0,0,12,17,1455,125,26,200,0,6550,17,12,5,37,9,0,43,0,0,349,199,150,0,669,463,7,4466,4316,193,167,490,102,130,92,29,59,13,70,87,21,38,82,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,1,0,0,0,0,8,3,1,2,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,7,3,1,2,0,0,0,181,165,490,102,129,92,29,59,13,62,84,20,36,82,12,24,172,143,467,86,127,83,14,48,13,58,83,17,34,82,10,18,9,22,23,16,2,9,15,11,0,4,1,3,2,0,2,6,https://wsjkw.sh.gov.cn/xwfb/20220325/f2f2ffe5d70047c5bdc295baf6f211ec.html
2022-03-23,996,14,982,0,0,0,0,0,81,230,5217,983,4,979,0,0,0,4,0,878,101,27,217,0,5170,13,10,3,54,13,0,47,0,0,371,196,175,0,640,437,7,4454,4279,218,106,256,20,69,34,26,11,10,48,69,11,34,54,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,106,254,20,68,34,26,11,10,48,69,11,34,54,5,11,185,99,235,17,65,32,23,9,10,46,52,7,30,52,5,11,33,7,19,3,3,2,3,2,0,2,17,4,4,2,0,0,https://wsjkw.sh.gov.cn/xwfb/20220324/197cda6414014e408b25537f0fd8cd97.html
2022-03-22,995,14,981,0,0,0,0,0,23,79,4465,981,4,977,0,0,0,3,1,886,91,6,74,0,4408,14,10,4,17,5,0,57,0,0,438,219,219,0,636,410,7,4444,4225,237,87,305,59,111,31,13,19,20,28,16,3,21,19,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,85,305,59,109,31,13,19,20,28,16,3,21,19,4,8,200,77,285,57,105,31,11,16,19,25,11,2,17,19,4,7,37,8,20,2,4,0,2,3,1,3,5,1,4,0,0,1,https://wsjkw.sh.gov.cn/xwfb/20220323/560de9823a914bda8e0fb31a7b91cccf.html
2022-03-21,907,39,868,0,0,0,0,0,140,186,3563,896,31,865,0,0,0,30,1,749,116,8,153,0,3505,11,8,3,132,33,0,58,0,0,447,221,226,0,632,404,7,4434,4208,169,130,122,49,103,39,23,26,5,44,67,10,31,40,16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,0,5,1,0,0,0,0,0,0,1,2,1,1,6,4,10,0,5,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,163,126,112,49,98,38,23,26,5,44,67,10,30,38,15,21,122,107,103,44,96,30,23,23,4,38,61,9,23,34,14,18,41,19,9,5,2,8,0,3,1,6,6,1,7,4,1,3,https://wsjkw.sh.gov.cn/xwfb/20220322/92cb33af745b4740be7edf66f086bad2.html
2022-03-20,777,41,736,0,0,0,0,0,44,53,2881,758,24,734,0,0,0,22,2,652,82,1,40,0,2793,19,17,2,43,13,0,88,0,0,548,198,350,0,601,396,7,4426,4076,220,46,265,42,40,9,12,13,4,32,13,8,18,12,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,219,45,247,40,39,9,12,12,4,32,13,8,18,12,11,13,189,39,218,36,37,7,11,11,4,31,11,6,17,12,11,12,30,6,29,4,2,2,1,1,0,1,2,2,1,0,0,1,https://wsjkw.sh.gov.cn/xwfb/20220321/edd50169c9244fca9bf864013dc0da81.html
2022-03-19,516,22,494,0,0,0,0,0,121,68,2198,509,17,492,0,0,6,9,2,232,260,10,44,0,2099,7,5,2,111,24,0,99,0,0,551,175,376,0,577,395,7,4409,4033,135,61,53,36,81,16,7,12,5,15,17,14,25,23,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,2,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,61,49,36,79,16,6,12,5,15,16,14,25,22,3,6,45,20,1,25,47,12,6,0,0,5,13,12,17,22,3,4,82,41,48,11,32,4,0,12,5,10,3,2,8,0,0,2,https://wsjkw.sh.gov.cn/xwfb/20220320/309cf8bf03ed462bb59d5c783d2c61aa.html
2022-03-18,392,20,372,0,0,0,0,0,26,15,1778,374,8,366,0,0,0,4,4,178,188,0,6,0,1657,18,12,6,26,9,0,121,0,0,650,168,482,0,560,385,7,4404,3922,67,40,59,15,44,13,19,7,16,12,27,8,23,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65,39,58,15,44,12,19,7,16,12,26,8,23,0,15,7,36,17,36,6,11,7,12,2,1,8,17,3,14,0,7,1,29,22,22,9,33,5,7,5,15,4,9,5,9,0,8,6,https://wsjkw.sh.gov.cn/xwfb/20220319/08e4bb662feb464ca93e6cf19caf5a3b.html
2022-03-17,272,67,205,0,0,0,0,0,54,38,1421,260,57,203,0,0,0,2,55,103,100,0,12,0,1297,12,10,2,54,26,0,124,0,0,656,160,496,0,552,385,7,4392,3896,35,36,82,19,35,10,7,1,1,4,14,2,7,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,4,7,5,0,1,0,0,1,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,3,6,5,0,1,0,0,1,5,0,1,0,0,0,11,28,78,12,30,10,6,1,1,3,9,2,6,3,1,2,5,9,64,0,3,9,5,0,0,0,2,2,3,0,0,1,6,19,14,12,27,1,1,1,1,3,7,0,3,3,1,1,https://wsjkw.sh.gov.cn/xwfb/20220318/dc6e1aca667a45a682f32ac514c6062e.html
2022-03-16,179,23,156,0,0,0,0,0,33,19,1254,158,8,150,0,0,1,1,6,69,81,0,4,0,1106,21,15,6,33,15,0,148,0,0,643,103,540,0,495,385,7,4382,3842,44,7,18,9,41,4,10,3,1,3,10,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,44,5,17,8,37,4,10,3,1,3,10,2,3,0,0,2,23,0,7,2,15,4,7,1,1,0,5,0,2,0,0,2,21,5,10,6,22,0,3,2,0,3,5,2,1,0,0,0,https://wsjkw.sh.gov.cn/xwfb/20220317/46f73d4d70b54982b04c925eea6cb031.html
2022-03-15,213,15,198,0,0,0,0,0,33,13,1118,202,5,197,0,0,0,4,1,135,62,0,3,0,961,11,10,1,33,10,0,157,0,0,653,95,558,0,487,385,7,4367,3809,42,24,27,12,21,11,6,4,6,10,11,2,9,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,23,26,12,21,11,6,4,6,10,11,2,9,0,8,4,31,13,17,9,14,7,5,3,3,9,7,1,5,0,7,4,9,10,9,3,7,4,1,1,3,1,4,1,4,0,1,0,https://wsjkw.sh.gov.cn/xwfb/20220316/18a627b694eb471f9a415dfa20b6d0b4.html
2022-03-14,154,21,133,0,0,0,0,0,15,9,933,139,9,130,0,0,0,5,4,102,28,0,1,0,767,15,12,3,15,8,0,166,0,0,671,90,581,0,482,385,7,4357,3776,23,12,26,23,23,10,4,1,0,6,2,1,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,22,10,24,21,23,9,3,1,0,6,2,1,0,0,4,3,13,9,19,18,21,9,1,1,0,5,1,0,0,0,3,1,9,1,5,3,2,0,2,0,0,1,1,1,0,0,1,2,https://wsjkw.sh.gov.cn/xwfb/20220315/e2b0122c52304fe0a41a8b726b3413d2.html
2022-03-13,187,57,130,0,0,0,0,0,33,5,809,169,41,128,0,0,2,0,39,90,38,0,0,0,638,18,16,2,33,5,0,171,0,0,665,81,584,0,473,385,7,4345,3761,39,18,32,12,20,8,5,5,4,10,3,3,6,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,12,3,6,1,1,3,2,6,0,0,1,0,2,1,4,4,6,1,5,1,1,2,0,5,0,0,1,0,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,2,0,0,0,0,2,1,0,0,0,0,0,0,34,14,20,9,14,7,4,2,2,4,3,3,5,0,6,1,22,8,15,7,13,5,2,2,1,3,3,1,2,0,5,1,12,6,5,2,1,2,2,0,1,1,0,2,3,0,1,0,https://wsjkw.sh.gov.cn/xwfb/20220314/ea83d1b33a2e40fea7de115c16cbae8a.html
2022-03-12,79,14,65,0,0,0,0,0,26,11,686,65,1,64,0,0,0,0,0,60,4,0,0,0,512,14,13,1,26,11,0,174,0,0,641,40,601,0,432,385,7,4329,3728,68,2,20,6,6,2,0,4,0,4,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2,20,6,6,2,0,4,0,4,6,0,0,0,8,0,32,1,10,3,3,1,0,1,0,2,3,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://wsjkw.sh.gov.cn/xwfb/20220313/ac598c0104ad49f8913df20d794d68d1.html
2022-03-11,114,27,87,0,0,0,0,0,20,3,632,83,5,78,0,0,0,0,0,57,21,0,0,0,448,31,22,9,20,3,0,184,0,0,653,39,614,0,431,385,7,4316,3702,9,12,17,5,12,5,2,1,1,3,9,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,10,17,5,11,5,2,1,1,3,7,0,1,0,4,1,8,6,11,3,11,4,2,1,1,2,6,0,1,0,0,0,1,4,6,2,0,1,0,0,0,1,1,0,0,0,4,1,https://wsjkw.sh.gov.cn/xwfb/20220312/559cc1eb3e9646b6a08b28ce340a3463.html
2022-03-10,117,43,74,0,0,0,0,0,17,7,548,75,11,64,0,0,0,0,0,0,0,0,0,0,370,42,32,10,17,7,0,178,0,0,646,34,612,0,426,385,7,4294,3682,7,7,12,1,4,8,6,1,4,2,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,12,1,4,8,4,1,3,2,8,0,3,0,0,0,5,6,12,1,4,8,4,1,3,1,8,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://wsjkw.sh.gov.cn/xwfb/20220311/a7bb01fac3664085a882d46dc4e194ba.html
